time,fib_index,fib_value
0.000000277,1,1
0.000000478,2,1
0.000000852,3,2
0.000001477,4,3
0.000002427,5,5
0.000003952,6,8
0.000006455,7,13
0.000010806,8,21
0.000017123,9,34
0.000027492,10,55
0.000044976,11,89
0.000071941,12,144
0.000117700,13,233
0.000188524,14,377
0.000308300,15,610
0.000495017,16,987
0.000821531,17,1597
0.001293344,18,2584
0.002096409,19,4181
0.003388329,20,6765
0.005450776,21,10946
0.008843274,22,17711
0.014358765,23,28657
0.023178656,24,46368
0.037974604,25,75025
0.061508832,26,121393
0.098631617,27,196418
0.160775640,28,317811
0.257305771,29,514229
0.428738584,30,832040
0.678783685,31,1346269
1.086222559,32,2178309
1.776617437,33,3524578
2.870132118,34,5702887
4.826001793,35,9227465
7.575175196,36,14930352
12.082720905,37,24157817
20.127125889,38,39088169
32.078384548,39,63245986
51.533161312,40,102334155
83.783616930,41,165580141
134.965512186,42,267914296
219.662692457,43,433494437
353.458083540,44,701408733
571.528054625,45,1134903170
928.769899279,46,1836311903
1497.752329021,47,2971215073
2425.590205103,48,4807526976
3935.990378767,49,7778742049