air_time,time_hour,distance,arr_delay
38,1/1/13 9:00,187,-4
353,1/1/13 12:00,2475,7
80,1/1/13 9:00,427,-16
333,1/1/13 9:00,2475,10
158,1/1/13 8:00,1089,-30
130,1/1/13 8:00,828,-7
357,1/1/13 11:00,2475,16
170,1/1/13 9:00,1069,42
263,1/1/13 9:00,1521,40
142,1/1/13 10:00,944,-1
361,1/1/13 7:00,2475,2
147,1/1/13 7:00,944,5
354,1/1/13 8:00,2446,24
41,1/1/13 6:00,187,-10
182,1/1/13 8:00,1598,-40
52,1/1/13 8:00,213,-13
86,1/1/13 8:00,340,17
126,1/1/13 8:00,760,0
381,1/1/13 7:00,2475,44
294,1/1/13 6:00,1990,-9
159,1/1/13 7:00,1069,-12
320,1/1/13 10:00,2248,-21
324,1/1/13 9:00,2248,-6
175,1/1/13 6:00,1074,4
349,1/1/13 11:00,2586,4
128,1/1/13 6:00,760,-8
342,1/1/13 9:00,2153,39
164,1/1/13 7:00,1041,-11
41,1/1/13 18:00,184,851
353,1/1/13 12:00,2586,-26
330,1/1/13 6:00,2153,0
330,1/1/13 12:00,2475,-39
145,1/1/13 9:00,944,-5
352,1/1/13 9:00,2475,2
52,1/1/13 9:00,266,-7
140,1/1/13 6:00,944,-8
80,1/1/13 8:00,427,-6
102,1/1/13 12:00,541,12
182,1/1/13 6:00,1598,-21
38,1/1/13 8:00,187,-22
188,1/1/13 8:00,1598,-39
295,1/1/13 10:00,1990,-9
142,1/1/13 6:00,944,-10
96,1/1/13 8:00,541,-5
166,1/1/13 9:00,1089,21
66,1/1/13 9:00,301,-5
167,1/1/13 11:00,1069,29
192,1/1/13 6:00,1598,-3
369,1/1/13 8:00,2586,-12
168,1/1/13 11:00,1074,3