dest,dep_delay,arr_delay,dep_time
MCO,34,-4,1025
MIA,-4,-12,606
AVL,-13,-16,946
PBI,1,-23,856
RSW,3,-11,1044
TPA,25,9,930
ORD,8,32,608
PBI,-2,-4,723
LAS,-1,-8,559
DFW,0,16,823
IAH,0,9,908
RDU,0,-4,851
BOS,-4,-19,801
SFO,-2,-14,558
MIA,0,-17,607
SAN,11,9,851
SEA,-1,-10,724
PBI,-3,-18,643
CLT,-2,-11,643
SEA,6,-25,857
CLT,-5,-6,1010
ORD,-4,12,554
DFW,-5,12,725
CLT,-4,10,811
LAX,32,39,953
CHS,-5,-17,1030
DCA,0,-14,929
DEN,5,5,1005
MYR,-4,-18,831
BUF,-5,-10,1024
SYR,-6,-12,1150
ATL,0,-9,615
IAH,0,26,739
DFW,-6,4,914
RDU,-2,-6,1127
MSP,-6,29,624
CLE,14,15,914
ORD,2,21,715
RSW,-1,-9,659
FLL,-5,19,555
MCO,-2,-1,758
JAX,-6,-7,809
PBI,18,13,1101
FLL,8,-9,644
TPA,-4,-23,656
SNA,-2,5,1143
SFO,18,23,1105
ORD,-3,7,1007
LAX,-2,29,628
ROC,-1,-5,1157