arr_delay,dep_delay,air_time
4,3,165
-2,-4,129
50,43,142
28,-3,258
11,7,133
-7,-1,159
16,-3,105
15,-2,145
31,-6,254
32,-2,257
34,13,256
31,-1,257
-8,-8,170
7,-2,267
7,-3,143
5,10,59
-7,0,152
137,101,118
-4,2,249
-14,-2,157
-24,-8,77
-13,-5,129
-2,-8,91
-10,-6,160
-7,-5,94
12,-2,112
5,13,153
8,-2,138
-1,1,161
-14,-3,53
3,-2,104
3,-4,238
-5,-8,144
-6,1,243
-4,5,127
-8,-11,88
2,-2,129
8,0,171
-24,-1,140
0,-1,169
-18,-3,140
26,5,247
-14,-1,43
12,-6,144
-8,-2,103
-6,-3,151
-4,-7,96
6,-15,129
-15,-1,90
-16,-4,159